threshold,n,ev_R
0.3,6045,0.37846987711495783
0.35,5544,0.4092015020551161
0.4,5014,0.4372998768378029
0.45,4491,0.4714508232833929
0.5,3938,0.5229948437655902
0.55,3386,0.5631601210299774
0.6,2854,0.5826183810382675
0.65,2323,0.655849196589952
0.7,1809,0.7032984070544441
0.75,1275,0.7660537514953037
0.8,854,0.8604737747497302
0.85,474,1.0167833603386898
0.9,210,1.31452130085072
