feature,mean_abs_shap_weighted
f22,0.4718269285010457
f17,0.4626305715535166
f11,0.4110228701356238
f3,0.3595948941671792
f18,0.3205952443811977
f14,0.31928346486563114
f20,0.3059821889537293
f9,0.2898480608579162
f7,0.21987316082654765
f13,0.2085547635092579
f16,0.20741908230156614
f12,0.20023879172136907
f6,0.16617305429949478
f15,0.15526569421291891
f10,0.1477203970343418
f1,0.14323668220425703
f0,0.14161512682755273
f8,0.13019784343132446
f5,0.10156005839944833
f21,0.06518936767756509
f29,0.036848542355940025
f2,0.030974097515623203
f25,0.014013010978832764
f30,0.005642724538518575
f26,0.002946557144216799
f24,0.0015848447775727277
f19,0.0
f28,0.0
f27,0.0
f23,0.0
f4,0.0
