threshold,n,ev_R
0.3,415,0.8304393612827932
0.35,411,0.8344342761473112
0.4,405,0.8370468637310529
0.45,379,0.8589315110139962
0.5,343,0.8282578396014935
0.55,256,0.6719367038620137
0.6,151,0.5624110061298968
0.65,60,
0.7,12,
0.75,3,
0.8,0,
0.85,0,
0.9,0,
