symbol,symbol_listed_at_utc,symbol_age_days,metadata_source
0GUSDT,2025-09-18T06:08:56+00:00,150,exchange_instrument_metadata
1000000BABYDOGEUSDT,2024-06-11T11:34:12+00:00,614,exchange_instrument_metadata
1000000CHEEMSUSDT,2024-11-25T10:40:12+00:00,447,exchange_instrument_metadata
1000000MOGUSDT,2024-05-16T15:43:33+00:00,640,exchange_instrument_metadata
10000QUBICUSDT,2024-12-24T09:53:58+00:00,418,exchange_instrument_metadata
10000SATSUSDT,2023-11-16T09:41:35+00:00,822,exchange_instrument_metadata
1000BONKUSDT,2023-01-06T02:10:39+00:00,1136,exchange_instrument_metadata
1000BTTUSDT,2022-02-25T06:08:18+00:00,1451,exchange_instrument_metadata
1000CATUSDT,2024-09-12T11:35:05+00:00,521,exchange_instrument_metadata
1000FLOKIUSDT,2023-02-24T08:56:26+00:00,1087,exchange_instrument_metadata
1000LUNCUSDT,2022-09-09T00:00:01+00:00,1255,exchange_instrument_metadata
1000NEIROCTOUSDT,2024-09-16T09:47:04+00:00,517,exchange_instrument_metadata
1000PEPEUSDT,2023-05-03T10:04:31+00:00,1019,exchange_instrument_metadata
1000RATSUSDT,2023-11-22T06:14:14+00:00,816,exchange_instrument_metadata
1000TAGUSDT,2025-07-28T08:37:38+00:00,202,exchange_instrument_metadata
1000TOSHIUSDT,2024-12-05T09:22:42+00:00,437,exchange_instrument_metadata
1000TURBOUSDT,2024-02-29T11:12:19+00:00,717,exchange_instrument_metadata
1000XECUSDT,2022-04-13T03:20:36+00:00,1404,exchange_instrument_metadata
1INCHUSDT,2021-12-06T00:00:00+00:00,1533,exchange_instrument_metadata
2ZUSDT,2025-10-02T13:38:07+00:00,136,exchange_instrument_metadata
4USDT,2025-10-08T12:25:26+00:00,130,exchange_instrument_metadata
A2ZUSDT,2025-07-31T09:09:03+00:00,199,exchange_instrument_metadata
AAVEUSDT,2021-05-13T09:21:00+00:00,1739,exchange_instrument_metadata
ACEUSDT,2023-12-18T06:49:35+00:00,790,exchange_instrument_metadata
ACHUSDT,2022-04-08T08:07:37+00:00,1409,exchange_instrument_metadata
ACTUSDT,2024-11-11T08:14:12+00:00,461,exchange_instrument_metadata
ACUUSDT,2026-01-23T07:44:38+00:00,23,exchange_instrument_metadata
ACXUSDT,2024-12-06T09:55:41+00:00,436,exchange_instrument_metadata
ADAUSDT,2021-01-15T00:00:00+00:00,1858,exchange_instrument_metadata
AERGOUSDT,2023-11-16T10:07:26+00:00,822,exchange_instrument_metadata
AEROUSDT,2024-07-15T09:05:08+00:00,580,exchange_instrument_metadata
AEVOUSDT,2024-03-13T10:50:14+00:00,704,exchange_instrument_metadata
AGIUSDT,2023-11-17T08:27:44+00:00,821,exchange_instrument_metadata
AGLDUSDT,2022-04-22T06:25:21+00:00,1395,exchange_instrument_metadata
AINUSDT,2025-07-10T10:58:10+00:00,220,exchange_instrument_metadata
AIOUSDT,2025-08-13T13:11:39+00:00,186,exchange_instrument_metadata
AIOZUSDT,2024-06-13T08:16:01+00:00,612,exchange_instrument_metadata
AIXBTUSDT,2024-12-20T08:38:27+00:00,422,exchange_instrument_metadata
AKEUSDT,2025-09-26T13:12:42+00:00,142,exchange_instrument_metadata
AKTUSDT,2024-06-26T08:56:10+00:00,599,exchange_instrument_metadata
ALCHUSDT,2025-01-07T07:32:11+00:00,404,exchange_instrument_metadata
ALGOUSDT,2021-09-23T00:00:00+00:00,1607,exchange_instrument_metadata
ALICEUSDT,2021-10-25T00:00:00+00:00,1575,exchange_instrument_metadata
ALLOUSDT,2025-11-14T12:32:20+00:00,93,exchange_instrument_metadata
