symbol,symbol_listed_at_utc,symbol_age_days,metadata_source
ALPINEUSDT,2025-08-14T09:45:23+00:00,185,exchange_instrument_metadata
ALTUSDT,2024-01-25T11:17:39+00:00,752,exchange_instrument_metadata
ALUUSDT,2025-01-14T08:02:02+00:00,397,exchange_instrument_metadata
ANIMEUSDT,2025-01-23T14:20:24+00:00,388,exchange_instrument_metadata
ANKRUSDT,2021-11-24T00:00:00+00:00,1545,exchange_instrument_metadata
APEUSDT,2022-03-18T02:44:37+00:00,1430,exchange_instrument_metadata
APEXUSDT,2025-09-28T08:18:13+00:00,140,exchange_instrument_metadata
API3USDT,2022-02-28T03:30:09+00:00,1448,exchange_instrument_metadata
APRUSDT,2025-10-23T12:17:47+00:00,115,exchange_instrument_metadata
APTUSDT,2022-10-18T15:34:32+00:00,1216,exchange_instrument_metadata
ARBUSDT,2023-03-23T09:27:40+00:00,1060,exchange_instrument_metadata
ARCUSDT,2025-01-03T08:16:18+00:00,408,exchange_instrument_metadata
ARIAUSDT,2025-09-03T12:47:05+00:00,165,exchange_instrument_metadata
ARKMUSDT,2023-07-28T01:41:11+00:00,933,exchange_instrument_metadata
ARKUSDT,2023-08-01T05:55:17+00:00,929,exchange_instrument_metadata
ARPAUSDT,2022-04-19T12:01:43+00:00,1398,exchange_instrument_metadata
ARUSDT,2021-12-20T05:39:22+00:00,1518,exchange_instrument_metadata
ASPUSDT,2025-07-24T12:13:05+00:00,206,exchange_instrument_metadata
ASRUSDT,2025-08-14T09:18:18+00:00,185,exchange_instrument_metadata
ASTERUSDT,2025-09-19T07:46:33+00:00,149,exchange_instrument_metadata
ASTRUSDT,2022-04-04T03:48:42+00:00,1413,exchange_instrument_metadata
ATHUSDT,2024-06-13T09:01:44+00:00,612,exchange_instrument_metadata
ATOMUSDT,2021-10-11T00:00:00+00:00,1589,exchange_instrument_metadata
ATUSDT,2025-10-29T13:53:36+00:00,109,exchange_instrument_metadata
AUCTIONUSDT,2023-07-28T06:34:30+00:00,933,exchange_instrument_metadata
AUSDT,2025-05-28T08:20:02+00:00,263,exchange_instrument_metadata
AVAAIUSDT,2025-01-08T08:32:06+00:00,403,exchange_instrument_metadata
AVAUSDT,2024-12-16T10:11:33+00:00,426,exchange_instrument_metadata
AVAXUSDT,2021-09-15T00:00:00+00:00,1615,exchange_instrument_metadata
AVLUSDT,2025-02-20T10:53:11+00:00,360,exchange_instrument_metadata
AVNTUSDT,2025-09-09T14:05:37+00:00,159,exchange_instrument_metadata
AWEUSDT,2025-05-22T09:09:48+00:00,269,exchange_instrument_metadata
AXLUSDT,2023-12-07T09:32:30+00:00,801,exchange_instrument_metadata
AXSUSDT,2021-08-12T00:00:00+00:00,1649,exchange_instrument_metadata
AZTECUSDT,2026-02-12T07:27:46+00:00,3,exchange_instrument_metadata
B2USDT,2025-06-09T09:18:43+00:00,251,exchange_instrument_metadata
B3USDT,2025-02-12T10:16:21+00:00,368,exchange_instrument_metadata
BABYUSDT,2025-04-03T09:34:35+00:00,318,exchange_instrument_metadata
BANANAS31USDT,2025-03-28T09:29:10+00:00,324,exchange_instrument_metadata
BANANAUSDT,2024-07-19T10:49:43+00:00,576,exchange_instrument_metadata
BANDUSDT,2022-02-18T06:51:56+00:00,1458,exchange_instrument_metadata
BANKUSDT,2025-05-08T08:51:51+00:00,283,exchange_instrument_metadata
BANUSDT,2024-11-18T08:39:50+00:00,454,exchange_instrument_metadata
BARDUSDT,2025-09-16T09:48:57+00:00,152,exchange_instrument_metadata
BATUSDT,2021-11-24T00:00:00+00:00,1545,exchange_instrument_metadata
BBUSDT,2024-05-14T11:41:00+00:00,642,exchange_instrument_metadata
BCHUSDT,2018-01-01T00:00:00+00:00,2968,exchange_instrument_metadata
BEAMUSDT,2023-11-14T09:48:16+00:00,824,exchange_instrument_metadata
BEATUSDT,2025-11-21T10:53:53+00:00,86,exchange_instrument_metadata
BELUSDT,2022-06-17T05:59:45+00:00,1339,exchange_instrument_metadata
BERAUSDT,2025-02-06T13:16:28+00:00,374,exchange_instrument_metadata
BICOUSDT,2021-12-02T11:40:17+00:00,1536,exchange_instrument_metadata
BIGTIMEUSDT,2023-10-12T08:35:45+00:00,857,exchange_instrument_metadata
BIOUSDT,2024-12-24T09:54:54+00:00,418,exchange_instrument_metadata
BIRBUSDT,2026-01-28T11:12:45+00:00,18,exchange_instrument_metadata
BLASTUSDT,2024-06-27T09:25:10+00:00,598,exchange_instrument_metadata
BLESSUSDT,2025-09-24T10:05:05+00:00,144,exchange_instrument_metadata
BLUAIUSDT,2025-10-23T11:38:48+00:00,115,exchange_instrument_metadata
BLURUSDT,2023-02-15T02:33:07+00:00,1096,exchange_instrument_metadata
BMTUSDT,2025-03-13T07:58:44+00:00,339,exchange_instrument_metadata
BNBUSDT,2021-06-29T07:18:00+00:00,1692,exchange_instrument_metadata
BNTUSDT,2023-08-07T05:18:53+00:00,923,exchange_instrument_metadata
BOBAUSDT,2022-04-06T07:56:01+00:00,1411,exchange_instrument_metadata
BOBBOBUSDT,2025-11-24T08:29:08+00:00,83,exchange_instrument_metadata
BOMEUSDT,2024-03-15T08:52:25+00:00,702,exchange_instrument_metadata
BRETTUSDT,2024-04-26T08:17:24+00:00,660,exchange_instrument_metadata
BREVUSDT,2025-12-30T12:56:05+00:00,47,exchange_instrument_metadata
BROCCOLIUSDT,2025-02-14T12:11:51+00:00,366,exchange_instrument_metadata
BRUSDT,2025-03-20T13:19:48+00:00,332,exchange_instrument_metadata
BSUUSDT,2025-08-27T10:30:53+00:00,172,exchange_instrument_metadata
BSVUSDT,2021-12-10T03:08:28+00:00,1528,exchange_instrument_metadata
BTCUSDT,2020-03-15T00:00:00+00:00,2164,exchange_instrument_metadata
BTRUSDT,2025-08-27T11:11:56+00:00,172,exchange_instrument_metadata
BUSDT,2025-05-23T06:10:46+00:00,268,exchange_instrument_metadata
C98USDT,2021-10-25T00:00:00+00:00,1575,exchange_instrument_metadata
CAKEUSDT,2023-11-03T10:00:36+00:00,835,exchange_instrument_metadata
CAMPUSDT,2025-08-28T08:31:42+00:00,171,exchange_instrument_metadata
CARVUSDT,2024-10-16T08:41:15+00:00,487,exchange_instrument_metadata
CATIUSDT,2024-09-09T08:15:12+00:00,524,exchange_instrument_metadata
CCUSDT,2025-10-31T13:20:55+00:00,107,exchange_instrument_metadata
CELOUSDT,2022-01-05T07:26:22+00:00,1502,exchange_instrument_metadata
CETUSUSDT,2024-02-05T03:44:03+00:00,741,exchange_instrument_metadata
CFXUSDT,2023-02-20T09:05:25+00:00,1091,exchange_instrument_metadata
CGPTUSDT,2025-01-10T10:47:27+00:00,401,exchange_instrument_metadata
CHILLGUYUSDT,2024-11-21T09:38:17+00:00,451,exchange_instrument_metadata
CHRUSDT,2021-11-18T00:00:00+00:00,1551,exchange_instrument_metadata
CHZUSDT,2021-10-12T00:00:00+00:00,1588,exchange_instrument_metadata
CKBUSDT,2022-02-15T04:59:08+00:00,1461,exchange_instrument_metadata
CLANKERUSDT,2025-04-28T10:16:10+00:00,293,exchange_instrument_metadata
CLOUDUSDT,2024-07-19T09:28:08+00:00,576,exchange_instrument_metadata
CLOUSDT,2025-10-17T11:42:17+00:00,121,exchange_instrument_metadata
COAIUSDT,2025-10-02T08:35:07+00:00,136,exchange_instrument_metadata
COMPUSDT,2021-08-12T00:00:00+00:00,1649,exchange_instrument_metadata
COOKIEUSDT,2025-01-07T07:32:59+00:00,404,exchange_instrument_metadata
COOKUSDT,2024-12-02T07:47:24+00:00,440,exchange_instrument_metadata
COREUSDT,2023-02-09T07:25:14+00:00,1102,exchange_instrument_metadata
COTIUSDT,2021-12-02T11:38:37+00:00,1536,exchange_instrument_metadata
COWUSDT,2024-11-08T10:06:41+00:00,464,exchange_instrument_metadata
CROSSUSDT,2025-07-10T11:01:40+00:00,220,exchange_instrument_metadata
CROUSDT,2021-11-23T00:00:00+00:00,1546,exchange_instrument_metadata
CRVUSDT,2021-10-25T00:00:00+00:00,1575,exchange_instrument_metadata
CTCUSDT,2022-05-17T07:57:50+00:00,1370,exchange_instrument_metadata
CTKUSDT,2021-12-02T11:34:07+00:00,1536,exchange_instrument_metadata
CTSIUSDT,2022-03-23T06:55:11+00:00,1425,exchange_instrument_metadata
CUSDT,2025-07-15T10:22:48+00:00,215,exchange_instrument_metadata
CVCUSDT,2021-11-30T15:20:51+00:00,1538,exchange_instrument_metadata
CVXUSDT,2022-04-20T07:38:02+00:00,1397,exchange_instrument_metadata
CYBERUSDT,2023-08-15T18:26:55+00:00,915,exchange_instrument_metadata
CYSUSDT,2025-12-12T11:05:44+00:00,65,exchange_instrument_metadata
DASHUSDT,2021-10-12T00:00:00+00:00,1588,exchange_instrument_metadata
DBRUSDT,2024-10-17T10:42:10+00:00,486,exchange_instrument_metadata
DEEPUSDT,2024-10-17T11:49:14+00:00,486,exchange_instrument_metadata
DEGENUSDT,2024-04-01T11:38:03+00:00,685,exchange_instrument_metadata
DEXEUSDT,2024-07-25T09:08:59+00:00,570,exchange_instrument_metadata
DGBUSDT,2022-03-28T07:25:31+00:00,1420,exchange_instrument_metadata
DIAUSDT,2025-07-23T07:48:53+00:00,207,exchange_instrument_metadata
DODOUSDT,2022-04-20T12:30:00+00:00,1397,exchange_instrument_metadata
DOGEUSDT,2021-06-02T10:44:00+00:00,1719,exchange_instrument_metadata
DOGUSDT,2024-06-04T09:58:40+00:00,621,exchange_instrument_metadata
DOLOUSDT,2025-07-28T08:54:10+00:00,202,exchange_instrument_metadata
DOODUSDT,2025-05-09T13:20:33+00:00,282,exchange_instrument_metadata
DOTUSDT,2021-03-18T09:34:00+00:00,1795,exchange_instrument_metadata
DRIFTUSDT,2024-05-21T09:32:48+00:00,635,exchange_instrument_metadata
DUSKUSDT,2021-12-16T16:45:30+00:00,1522,exchange_instrument_metadata
DYDXUSDT,2021-10-11T00:00:00+00:00,1589,exchange_instrument_metadata
DYMUSDT,2024-02-07T02:36:50+00:00,739,exchange_instrument_metadata
EDENUSDT,2025-09-30T11:43:24+00:00,138,exchange_instrument_metadata
EDUUSDT,2023-05-05T07:55:34+00:00,1017,exchange_instrument_metadata
EGLDUSDT,2021-11-22T16:00:00+00:00,1546,exchange_instrument_metadata
EIGENUSDT,2024-08-06T03:43:33+00:00,558,exchange_instrument_metadata
ELSAUSDT,2026-01-22T07:22:15+00:00,24,exchange_instrument_metadata
ENAUSDT,2024-04-02T09:42:46+00:00,684,exchange_instrument_metadata
ENJUSDT,2021-10-31T16:00:00+00:00,1568,exchange_instrument_metadata
ENSOUSDT,2025-10-14T09:21:01+00:00,124,exchange_instrument_metadata
ENSUSDT,2021-11-12T00:00:00+00:00,1557,exchange_instrument_metadata
EPICUSDT,2025-03-14T08:18:01+00:00,338,exchange_instrument_metadata
ERAUSDT,2025-07-17T15:46:22+00:00,213,exchange_instrument_metadata
ESPORTSUSDT,2025-07-29T10:05:24+00:00,201,exchange_instrument_metadata
ESPUSDT,2026-02-10T09:29:46+00:00,5,exchange_instrument_metadata
ESUSDT,2025-07-16T10:27:33+00:00,214,exchange_instrument_metadata
ETCUSDT,2021-06-29T07:04:00+00:00,1692,exchange_instrument_metadata
ETHBTCUSDT,2024-06-07T08:32:58+00:00,618,exchange_instrument_metadata
ETHFIUSDT,2024-03-18T13:16:43+00:00,699,exchange_instrument_metadata
ETHUSDT,2021-03-15T00:00:00+00:00,1799,exchange_instrument_metadata
EULUSDT,2025-10-14T08:30:33+00:00,124,exchange_instrument_metadata
EVAAUSDT,2025-10-17T11:39:26+00:00,121,exchange_instrument_metadata
FARTCOINUSDT,2024-12-20T08:37:27+00:00,422,exchange_instrument_metadata
FFUSDT,2025-09-29T14:22:53+00:00,139,exchange_instrument_metadata
FHEUSDT,2026-01-07T07:40:01+00:00,39,exchange_instrument_metadata
FIDAUSDT,2024-09-25T09:03:14+00:00,508,exchange_instrument_metadata
FIGHTUSDT,2026-01-23T11:42:16+00:00,23,exchange_instrument_metadata
FILUSDT,2021-06-29T07:15:00+00:00,1692,exchange_instrument_metadata
FIOUSDT,2024-09-26T06:06:25+00:00,507,exchange_instrument_metadata
FLOCKUSDT,2025-01-09T08:50:07+00:00,402,exchange_instrument_metadata
FLOWUSDT,2021-11-25T16:00:00+00:00,1543,exchange_instrument_metadata
FLRUSDT,2023-03-16T07:58:28+00:00,1067,exchange_instrument_metadata
FLUIDUSDT,2025-09-24T11:47:47+00:00,144,exchange_instrument_metadata
FLUXUSDT,2024-09-04T08:31:03+00:00,529,exchange_instrument_metadata
FOGOUSDT,2026-01-11T07:14:29+00:00,35,exchange_instrument_metadata
FOLKSUSDT,2025-12-09T11:06:22+00:00,68,exchange_instrument_metadata
FORMUSDT,2025-03-19T09:56:07+00:00,333,exchange_instrument_metadata
FUSDT,2024-12-06T10:18:12+00:00,436,exchange_instrument_metadata
GALAUSDT,2021-11-09T00:00:00+00:00,1560,exchange_instrument_metadata
GASUSDT,2023-10-23T07:09:12+00:00,846,exchange_instrument_metadata
GIGAUSDT,2024-12-12T07:42:26+00:00,430,exchange_instrument_metadata
GIGGLEUSDT,2025-10-09T12:13:32+00:00,129,exchange_instrument_metadata
GLMUSDT,2023-08-10T04:57:59+00:00,920,exchange_instrument_metadata
GMTUSDT,2022-03-19T05:25:11+00:00,1429,exchange_instrument_metadata
GMXUSDT,2022-10-10T07:06:10+00:00,1224,exchange_instrument_metadata
GNOUSDT,2024-05-14T11:47:55+00:00,642,exchange_instrument_metadata
GOATUSDT,2024-10-22T10:44:24+00:00,481,exchange_instrument_metadata
GODSUSDT,2023-11-22T05:02:21+00:00,816,exchange_instrument_metadata
GPSUSDT,2025-02-18T08:15:43+00:00,362,exchange_instrument_metadata
GRASSUSDT,2024-10-15T10:12:03+00:00,488,exchange_instrument_metadata
GRIFFAINUSDT,2024-12-20T08:39:59+00:00,422,exchange_instrument_metadata
GRTUSDT,2021-12-06T00:00:00+00:00,1533,exchange_instrument_metadata
GUNUSDT,2025-03-31T13:12:09+00:00,321,exchange_instrument_metadata
HAEDALUSDT,2025-04-30T11:29:53+00:00,291,exchange_instrument_metadata
HANAUSDT,2025-10-17T11:33:05+00:00,121,exchange_instrument_metadata
HBARUSDT,2021-10-25T00:00:00+00:00,1575,exchange_instrument_metadata
HEIUSDT,2025-02-14T09:23:35+00:00,366,exchange_instrument_metadata
HEMIUSDT,2025-09-23T13:00:37+00:00,145,exchange_instrument_metadata
HFTUSDT,2023-03-14T06:45:49+00:00,1069,exchange_instrument_metadata
HIGHUSDT,2023-02-07T08:42:50+00:00,1104,exchange_instrument_metadata
HIPPOUSDT,2024-11-14T07:56:07+00:00,458,exchange_instrument_metadata
HIVEUSDT,2024-12-23T10:34:00+00:00,419,exchange_instrument_metadata
HMSTRUSDT,2024-09-11T06:08:16+00:00,522,exchange_instrument_metadata
HNTUSDT,2022-01-24T06:47:20+00:00,1483,exchange_instrument_metadata
HOLOUSDT,2025-09-11T12:05:40+00:00,157,exchange_instrument_metadata
HOMEUSDT,2025-06-10T11:15:50+00:00,250,exchange_instrument_metadata
HOOKUSDT,2023-02-07T08:25:52+00:00,1104,exchange_instrument_metadata
HPOS10IUSDT,2024-10-21T07:56:01+00:00,482,exchange_instrument_metadata
HUMAUSDT,2025-05-26T13:01:54+00:00,265,exchange_instrument_metadata
HUSDT,2025-06-25T09:50:35+00:00,235,exchange_instrument_metadata
HYPERUSDT,2025-04-22T12:07:07+00:00,299,exchange_instrument_metadata
HYPEUSDT,2024-12-04T12:52:20+00:00,438,exchange_instrument_metadata
ICNTUSDT,2025-07-03T11:00:16+00:00,227,exchange_instrument_metadata
ICPUSDT,2021-09-15T00:00:00+00:00,1615,exchange_instrument_metadata
ICXUSDT,2022-04-13T06:22:15+00:00,1404,exchange_instrument_metadata
IDEXUSDT,2023-05-23T06:10:36+00:00,999,exchange_instrument_metadata
IDUSDT,2023-03-24T06:29:48+00:00,1059,exchange_instrument_metadata
ILVUSDT,2021-11-26T00:00:00+00:00,1543,exchange_instrument_metadata
IMXUSDT,2021-11-24T00:00:00+00:00,1545,exchange_instrument_metadata
INITUSDT,2025-04-14T07:34:53+00:00,307,exchange_instrument_metadata
INJUSDT,2022-08-17T00:00:00+00:00,1279,exchange_instrument_metadata
INUSDT,2025-08-07T10:17:01+00:00,192,exchange_instrument_metadata
INXUSDT,2026-01-29T08:39:51+00:00,17,exchange_instrument_metadata
IOSTUSDT,2021-10-12T00:00:00+00:00,1588,exchange_instrument_metadata
IOTAUSDT,2021-12-29T10:16:33+00:00,1509,exchange_instrument_metadata
IOTXUSDT,2021-11-12T00:00:00+00:00,1557,exchange_instrument_metadata
IOUSDT,2024-06-11T13:49:00+00:00,614,exchange_instrument_metadata
IPUSDT,2025-02-07T08:28:16+00:00,373,exchange_instrument_metadata
IRYSUSDT,2025-11-27T06:00:43+00:00,80,exchange_instrument_metadata
JASMYUSDT,2022-01-19T06:36:42+00:00,1488,exchange_instrument_metadata
JCTUSDT,2025-11-17T10:12:07+00:00,90,exchange_instrument_metadata
JELLYJELLYUSDT,2025-01-30T06:45:11+00:00,381,exchange_instrument_metadata
JSTUSDT,2022-02-18T06:45:41+00:00,1458,exchange_instrument_metadata
JTOUSDT,2023-12-07T19:50:19+00:00,801,exchange_instrument_metadata
JUPUSDT,2024-01-31T15:51:07+00:00,746,exchange_instrument_metadata
KAIAUSDT,2024-11-01T08:24:34+00:00,471,exchange_instrument_metadata
KAITOUSDT,2025-02-20T13:22:07+00:00,360,exchange_instrument_metadata
KASUSDT,2023-08-04T08:34:41+00:00,926,exchange_instrument_metadata
KAVAUSDT,2022-01-10T07:54:47+00:00,1497,exchange_instrument_metadata
KERNELUSDT,2025-04-14T12:07:24+00:00,307,exchange_instrument_metadata
KGENUSDT,2025-10-07T15:17:52+00:00,131,exchange_instrument_metadata
KITEUSDT,2025-10-29T12:02:47+00:00,109,exchange_instrument_metadata
KMNOUSDT,2024-10-09T08:52:41+00:00,494,exchange_instrument_metadata
KNCUSDT,2022-01-10T07:40:34+00:00,1497,exchange_instrument_metadata
KSMUSDT,2021-10-12T00:00:00+00:00,1588,exchange_instrument_metadata
L3USDT,2024-07-31T09:10:09+00:00,564,exchange_instrument_metadata
LABUSDT,2025-10-27T09:19:50+00:00,111,exchange_instrument_metadata
LAUSDT,2025-06-05T05:20:01+00:00,255,exchange_instrument_metadata
LDOUSDT,2022-07-20T06:53:39+00:00,1306,exchange_instrument_metadata
LIGHTUSDT,2025-09-27T13:15:59+00:00,141,exchange_instrument_metadata
LINEAUSDT,2025-09-01T09:34:45+00:00,167,exchange_instrument_metadata
LINKUSDT,2018-01-01T00:00:00+00:00,2968,exchange_instrument_metadata
LISTAUSDT,2024-06-21T10:16:55+00:00,604,exchange_instrument_metadata
LITUSDT,2025-12-30T10:08:18+00:00,47,exchange_instrument_metadata
LPTUSDT,2021-12-13T01:12:39+00:00,1525,exchange_instrument_metadata
LQTYUSDT,2023-03-13T08:06:00+00:00,1070,exchange_instrument_metadata
LRCUSDT,2021-11-11T00:00:00+00:00,1558,exchange_instrument_metadata
LSKUSDT,2024-01-02T15:22:55+00:00,775,exchange_instrument_metadata
LTCUSDT,2018-01-01T00:00:00+00:00,2968,exchange_instrument_metadata
LUMIAUSDT,2024-10-25T07:36:02+00:00,478,exchange_instrument_metadata
LUNA2USDT,2022-05-31T07:50:03+00:00,1356,exchange_instrument_metadata
LYNUSDT,2025-10-06T08:05:54+00:00,132,exchange_instrument_metadata
MAGICUSDT,2022-12-13T02:18:41+00:00,1160,exchange_instrument_metadata
MAGMAUSDT,2025-12-26T07:06:53+00:00,51,exchange_instrument_metadata
MANAUSDT,2021-11-08T00:00:00+00:00,1561,exchange_instrument_metadata
MANTAUSDT,2024-01-18T11:02:58+00:00,759,exchange_instrument_metadata
MASKUSDT,2021-12-02T11:29:02+00:00,1536,exchange_instrument_metadata
MAVIAUSDT,2024-02-07T09:12:26+00:00,739,exchange_instrument_metadata
MAVUSDT,2023-06-28T09:40:09+00:00,963,exchange_instrument_metadata
MBOXUSDT,2024-01-18T10:45:43+00:00,759,exchange_instrument_metadata
MELANIAUSDT,2025-01-20T05:13:39+00:00,391,exchange_instrument_metadata
MEMEUSDT,2023-11-03T08:48:45+00:00,835,exchange_instrument_metadata
MERLUSDT,2024-04-19T11:02:21+00:00,667,exchange_instrument_metadata
METISUSDT,2024-01-02T15:05:24+00:00,775,exchange_instrument_metadata
METUSDT,2025-10-10T09:54:06+00:00,128,exchange_instrument_metadata
MEUSDT,2024-11-25T08:03:15+00:00,447,exchange_instrument_metadata
MEWUSDT,2024-04-23T09:15:41+00:00,663,exchange_instrument_metadata
MINAUSDT,2022-04-06T07:03:33+00:00,1411,exchange_instrument_metadata
MIRAUSDT,2025-09-26T12:42:31+00:00,142,exchange_instrument_metadata
MITOUSDT,2025-08-29T10:13:39+00:00,170,exchange_instrument_metadata
MLNUSDT,2025-04-09T08:04:46+00:00,312,exchange_instrument_metadata
MMTUSDT,2025-10-27T09:22:23+00:00,111,exchange_instrument_metadata
MNTUSDT,2023-10-02T05:40:55+00:00,867,exchange_instrument_metadata
MOCAUSDT,2024-07-12T09:57:42+00:00,583,exchange_instrument_metadata
MONUSDT,2025-11-24T13:58:06+00:00,83,exchange_instrument_metadata
MOODENGUSDT,2024-10-01T06:59:06+00:00,502,exchange_instrument_metadata
MORPHOUSDT,2024-11-22T08:35:59+00:00,450,exchange_instrument_metadata
MOVEUSDT,2024-12-09T12:06:17+00:00,433,exchange_instrument_metadata
MOVRUSDT,2023-11-23T06:09:22+00:00,815,exchange_instrument_metadata
MTLUSDT,2022-04-13T06:34:50+00:00,1404,exchange_instrument_metadata
MUBARAKUSDT,2025-03-17T07:41:36+00:00,335,exchange_instrument_metadata
MUSDT,2025-07-08T09:36:03+00:00,222,exchange_instrument_metadata
MYXUSDT,2025-08-05T09:28:02+00:00,194,exchange_instrument_metadata
NAORISUSDT,2025-07-31T12:14:10+00:00,199,exchange_instrument_metadata
NEARUSDT,2021-10-11T00:00:00+00:00,1589,exchange_instrument_metadata
NEOUSDT,2022-01-30T02:20:29+00:00,1477,exchange_instrument_metadata
NEWTUSDT,2025-06-20T07:45:06+00:00,240,exchange_instrument_metadata
NFPUSDT,2023-12-27T10:30:25+00:00,781,exchange_instrument_metadata
NIGHTUSDT,2025-12-09T10:21:35+00:00,68,exchange_instrument_metadata
NILUSDT,2025-03-20T10:55:46+00:00,332,exchange_instrument_metadata
NMRUSDT,2023-09-04T05:16:32+00:00,895,exchange_instrument_metadata
NOMUSDT,2025-10-01T08:17:38+00:00,137,exchange_instrument_metadata
NOTUSDT,2024-05-16T15:41:23+00:00,640,exchange_instrument_metadata
NSUSDT,2024-12-20T08:39:10+00:00,422,exchange_instrument_metadata
NTRNUSDT,2023-10-10T11:14:38+00:00,859,exchange_instrument_metadata
NXPCUSDT,2025-05-15T06:19:25+00:00,276,exchange_instrument_metadata
OBTUSDT,2025-04-25T09:18:13+00:00,296,exchange_instrument_metadata
OGNUSDT,2022-03-19T06:30:19+00:00,1429,exchange_instrument_metadata
OGUSDT,2023-08-28T08:19:57+00:00,902,exchange_instrument_metadata
OKBUSDT,2025-09-11T11:49:16+00:00,157,exchange_instrument_metadata
OLUSDT,2024-11-21T08:49:56+00:00,451,exchange_instrument_metadata
OMUSDT,2024-03-18T06:31:41+00:00,699,exchange_instrument_metadata
ONDOUSDT,2024-01-22T10:29:52+00:00,755,exchange_instrument_metadata
ONEUSDT,2021-10-25T00:00:00+00:00,1575,exchange_instrument_metadata
ONGUSDT,2023-11-28T07:14:23+00:00,810,exchange_instrument_metadata
ONTUSDT,2022-06-06T06:37:00+00:00,1350,exchange_instrument_metadata
OPENUSDT,2025-09-08T13:04:15+00:00,160,exchange_instrument_metadata
OPUSDT,2022-06-01T04:51:03+00:00,1355,exchange_instrument_metadata
ORBSUSDT,2023-10-09T07:45:42+00:00,860,exchange_instrument_metadata
ORCAUSDT,2024-04-01T09:22:09+00:00,685,exchange_instrument_metadata
ORDERUSDT,2024-08-27T09:02:16+00:00,537,exchange_instrument_metadata
ORDIUSDT,2023-05-22T07:10:10+00:00,1000,exchange_instrument_metadata
