feature,mean_abs_shap_weighted
f22,0.48619267533892707
f17,0.41216074819657383
f11,0.3091547000078497
f20,0.3078639782558265
f14,0.3017248827062542
f3,0.29157849328307234
f7,0.26943845040192915
f9,0.25804878753529953
f18,0.2366552005746933
f12,0.2323970714677896
f15,0.2024426665355773
f13,0.1875268584826094
f16,0.16452189975467005
f10,0.15735611771426333
f8,0.14749083662204104
f1,0.14115771555577555
f0,0.13378023285603455
f6,0.1300734594718703
f5,0.09945643905308939
f21,0.06356129796887208
f29,0.04733623924113074
f2,0.029865068198630784
f25,0.009713938113849317
f30,0.007163113941451988
f26,0.002714743427115849
f19,0.0
f24,0.0
f28,0.0
f27,0.0
f23,0.0
f4,0.0
