threshold,n,ev_R
0.3,1060,0.8105186713883745
0.35,958,0.855902945116586
0.4,894,0.8564898631216533
0.45,807,0.8615546882249623
0.5,706,0.8596739224842773
0.55,607,0.8466889859736848
0.6,507,0.882050050726669
0.65,417,0.8265388453279348
0.7,330,0.7528378616249929
0.75,240,0.6920260060816635
0.8,161,0.5240773816543014
0.85,103,0.6410150438273456
0.9,56,0.13420182757116714
