n,win_rate,profit_factor,avg_R,max_dd,cagr,mar,daily_sharpe,min_block_sharpe,tag,sl_atr,tp_atr,time_exit_h,partial,partial_ratio,tp1_atr,trail,trail_atr
638,0.3557993730407524,1.7132166828864146,0.4652402521688742,0.4433946433162633,11.697634720147256,26.381993775697463,2.349735502374181,0.8382729524172501,DON_DAYS-20_VOL-multiple2.0_ENTRY-close_above_break_PB-retest_CONF-1_SL-2.0_TP-12.0_TE-72.0_PT-0_TRL-0,2.0,12.0,72.0,0,,,0,
609,0.41050903119868637,1.7127328437773497,0.4117174162085843,0.4608532240796247,9.655649147653612,20.951679717413327,2.1325784206212317,-0.7655452795777884,DON_DAYS-20_VOL-multiple2.0_ENTRY-close_above_break_PB-retest_CONF-1_SL-2.5_TP-12.0_TE-72.0_PT-0_TRL-0,2.5,12.0,72.0,0,,,0,
655,0.36335877862595417,1.6652977127296893,0.42908681427151185,0.31177212978030755,10.802655197067756,34.649201019603396,3.01692590749623,1.4797665248437348,DON_DAYS-20_VOL-multiple2.0_ENTRY-close_above_break_PB-retest_CONF-1_SL-2.0_TP-8.0_TE-72.0_PT-0_TRL-0,2.0,8.0,72.0,0,,,0,
648,0.30401234567901236,1.6532760475766666,0.46899906450571166,0.3214397529388111,12.146052671957975,37.78640495119495,2.5882809773134903,1.2288172088848865,DON_DAYS-20_VOL-multiple2.0_ENTRY-close_above_break_PB-retest_CONF-1_SL-2.0_TP-8.0_TE-None_PT-0_TRL-0,2.0,8.0,,0,,,0,
627,0.41148325358851673,1.6252998388765718,0.36111204892562965,0.31780778039387747,8.322068805302841,26.185856101410803,2.4231676658162526,-0.3834450294171295,DON_DAYS-20_VOL-multiple2.0_ENTRY-close_above_break_PB-retest_CONF-1_SL-2.5_TP-8.0_TE-72.0_PT-0_TRL-0,2.5,8.0,72.0,0,,,0,
615,0.3463414634146341,1.6138752688914124,0.4111567205532108,0.32293837674457826,9.95761928707328,30.834425401689135,2.241557212022666,-0.6854681626906417,DON_DAYS-20_VOL-multiple2.0_ENTRY-close_above_break_PB-retest_CONF-1_SL-2.5_TP-8.0_TE-None_PT-0_TRL-0,2.5,8.0,,0,,,0,
582,0.24398625429553264,1.4546240397694823,0.3521060613684254,0.583010009776441,6.929645376906957,11.885980104465402,1.7966722198334961,-0.15676042445151597,DON_DAYS-20_VOL-multiple2.0_ENTRY-close_above_break_PB-retest_CONF-1_SL-2.5_TP-12.0_TE-None_PT-0_TRL-0,2.5,12.0,,0,,,0,
617,0.20583468395461912,1.4475081124376454,0.36651559426844205,0.5734333628891957,7.451254375626133,12.994106827136141,1.8143972952951453,-0.47563354197355917,DON_DAYS-20_VOL-multiple2.0_ENTRY-close_above_break_PB-retest_CONF-1_SL-2.0_TP-12.0_TE-None_PT-0_TRL-0,2.0,12.0,,0,,,0,
