symbol,pullback_type,entry_rule,don_break_len,regime_up,trades,win_rate_pct,profit_factor,avg_pnl,median_pnl,avg_pnl_R,median_pnl_R
1000000BABYDOGEUSDT,retest,close_above_break,20,True,4.0,50.0,3.8548130457963,14.691709922135507,14.70730879325794,1.4691709922135507,1.470730879325794
1000000CHEEMSUSDT,retest,close_above_break,20,True,5.0,80.0,9.288813635458602,16.9428075295263,10.17645548864231,1.6942807529526296,1.0176455488642309
1000000MOGUSDT,retest,close_above_break,20,True,6.0,50.0,5.5156195332779046,16.27388160713362,19.21551248703218,1.6273881607133622,1.9215512487032178
1000000PEIPEIUSDT,retest,close_above_break,20,True,4.0,75.0,9.612580461549754,21.890162627892693,28.967151902991965,2.189016262789269,2.8967151902991963
10000LADYSUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-6.256732873163161,-6.256732873163161,-0.625673287316316,-0.625673287316316
10000QUBICUSDT,retest,close_above_break,20,True,6.0,16.666666666666664,0.5346284905221825,-3.9951405655867718,-10.291973045454448,-0.39951405655867706,-1.0291973045454448
10000SATSUSDT,retest,close_above_break,20,True,4.0,25.0,1.288277296883039,2.218972873399322,-10.206399391291523,0.22189728733993236,-1.0206399391291523
10000WENUSDT,retest,close_above_break,20,True,2.0,100.0,,5.986158517159356,5.986158517159356,0.5986158517159357,0.5986158517159357
10000WHYUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.10543659331232,-10.10543659331232,-1.010543659331232,-1.010543659331232
1000BONKUSDT,retest,close_above_break,20,True,3.0,100.0,,29.6104525693972,28.74395401542013,2.9610452569397196,2.874395401542013
1000BTTUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,4.346053900331328,12.019764385232344,20.787038415961803,1.2019764385232348,2.0787038415961803
1000CATUSDT,retest,close_above_break,20,True,1.0,100.0,,39.810217436257815,39.810217436257815,3.9810217436257807,3.9810217436257807
1000FLOKIUSDT,retest,close_above_break,20,True,3.0,100.0,,39.696460011842056,39.73143556000818,3.9696460011842056,3.973143556000818
1000LUNCUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.150049208693695,1.0437382918863882,-10.429306990400796,0.10437382918863876,-1.0429306990400795
1000NEIROCTOUSDT,retest,close_above_break,20,True,2.0,50.0,3.915720706737876,14.840952163693705,14.840952163693705,1.4840952163693706,1.4840952163693706
1000PEPEUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,7.770357320186263,23.057512889604492,39.67097249811536,2.305751288960449,3.9670972498115353
1000RATSUSDT,retest,close_above_break,20,True,4.0,50.0,0.9566698580004364,-0.2205932691456698,-0.8856890683765961,-0.022059326914567023,-0.08856890683765956
1000TOSHIUSDT,retest,close_above_break,20,True,5.0,60.0,5.8862651673566475,19.829767531724002,39.74479525603002,1.9829767531724003,3.9744795256030025
1000TURBOUSDT,retest,close_above_break,20,True,1.0,100.0,,39.69025515225879,39.69025515225879,3.969025515225879,3.969025515225879
1000XUSDT,retest,close_above_break,20,True,6.0,50.0,3.920776198035593,14.833959495048484,14.81010571365452,1.4833959495048485,1.4810105713654522
1INCHUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.8913090633505873,6.216358781427071,-10.455639944310096,0.6216358781427069,-1.0455639944310096
A8USDT,retest,close_above_break,20,True,1.0,100.0,,39.885339815128326,39.885339815128326,3.9885339815128327,3.9885339815128327
AAVEUSDT,retest,close_above_break,20,True,4.0,50.0,2.7888297889011526,9.15511882342052,3.6772447993161688,0.915511882342052,0.36772447993161705
ACHUSDT,retest,close_above_break,20,True,2.0,50.0,3.9463773705278147,14.875360218794462,14.875360218794462,1.4875360218794462,1.4875360218794462
ADAUSDT,retest,close_above_break,20,True,7.0,71.42857142857143,6.321987787640341,15.798406950502967,6.214130204424633,1.5798406950502966,0.6214130204424633
AERGOUSDT,retest,close_above_break,20,True,2.0,100.0,,39.88276338185069,39.88276338185069,3.9882763381850688,3.9882763381850688
AEROUSDT,retest,close_above_break,20,True,6.0,33.33333333333333,1.383449518056583,2.6128942111947544,-10.181715978342378,0.2612894211194754,-1.0181715978342378
AEVOUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,7.775893060791991,22.999047203936698,39.55650951182221,2.2999047203936698,3.955650951182221
AGLDUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-10.211629826765346,-10.211629826765346,-1.0211629826765347,-1.0211629826765347
AI16ZUSDT,retest,close_above_break,20,True,1.0,100.0,,39.80557508281879,39.80557508281879,3.980557508281879,3.980557508281879
AIOZUSDT,retest,close_above_break,20,True,2.0,50.0,2.264685283281265,6.4168288172478665,6.4168288172478665,0.6416828817247867,0.6416828817247867
AIUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.941765252180528,6.396394877376835,-10.172516336128975,0.6396394877376834,-1.0172516336128976
AIXBTUSDT,retest,close_above_break,20,True,6.0,33.33333333333333,2.158969952466721,7.123053155930173,-8.241012621751738,0.7123053155930172,-0.8241012621751739
AKTUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,7.763956409590765,22.96003018881932,39.45530443152868,2.2960030188819323,3.945530443152868
ALCHUSDT,retest,close_above_break,20,True,5.0,40.0,1.729582753342188,4.435688749831625,-10.054951553815709,0.4435688749831625,-1.0054951553815707
ALEOUSDT,retest,close_above_break,20,True,3.0,0.0,0.0,-8.933807027256792,-10.141968950394324,-0.8933807027256794,-1.0141968950394324
ALGOUSDT,retest,close_above_break,20,True,4.0,75.0,11.313032416323754,27.04403023407965,39.526089021024774,2.704403023407965,3.9526089021024777
