pr_auc,brier,fold,n_train,n_test
0.5905841315991419,0.36063018769252597,1,7025,2637
0.6354491706878097,0.33998704426151694,2,6146,2637
0.6860660997989311,0.32759209777819726,3,5268,2637
0.5522304588291114,0.37274184998687687,4,5269,2636
0.5254350479407228,0.3507890186068142,5,5270,2636
0.6303305920133557,0.32950825216897345,6,5270,2636
0.5160022754099947,0.3708051609565781,7,5270,2636
0.609567973409205,0.34836439905519206,8,5270,2636
0.5617689281623339,0.352006833779993,9,5270,2636
0.5418163170546396,0.3472871260583176,10,6148,2636
0.668095056264119,0.307789484759029,11,6146,2637
0.6965384668782335,0.32145366233184913,12,5268,2637
0.5252967581254088,0.3481172943845491,13,4390,2636
0.5023659058868344,0.3713254988005979,14,4391,2636
0.6364784728116808,0.3073631518302015,15,4391,2636
0.5372146296024872,0.35435296428070906,16,4391,2636
0.661727570359309,0.32966855333657397,17,4391,2636
0.5930160678631331,0.3387978670352606,18,4391,2636
0.5706650820740788,0.3404284014211467,19,5269,2636
0.7266881970023671,0.30795759397673284,20,5268,2637
0.5584758616348665,0.32880140295232535,21,4390,2636
0.5425685349158177,0.34804422579782585,22,3512,2636
0.6582097131362563,0.3258313779365818,23,3512,2636
0.6028922330197694,0.30619332093449186,24,3512,2636
0.7203481788436497,0.28539422210531945,25,3512,2636
0.6528724606662015,0.30537079989419436,26,3512,2636
0.6293462608657818,0.3102032688407997,27,4390,2636
0.5807038313096222,0.338951865650974,28,5269,2636
0.5658637066016488,0.34346833034663005,29,4391,2636
0.7190761193368056,0.2655694731336636,30,3513,2636
