feature,mean_abs_shap_weighted
f22,0.7538373076075221
f7,0.5562029254986753
f20,0.4687737592191563
f18,0.46387956137860686
f17,0.4125473849126935
f11,0.40544651980073376
f3,0.3897347833083571
f14,0.36375098942704137
f12,0.30252990043428946
f10,0.2377588215666231
f6,0.23220931238510034
f13,0.22862551947942852
f9,0.22839238408292079
f16,0.19580929391975746
f15,0.17017953997833854
f1,0.1687935321329568
f8,0.15217534273901037
f0,0.149855577716367
f5,0.10019761345928142
f21,0.10013508866121582
f29,0.07948670986697574
f2,0.039309943522071185
f25,0.017930431830525898
f30,0.016048670964386485
f26,0.003485076517433976
f24,0.000988249803711863
f19,0.0
f28,0.0
f27,0.0
f23,0.0
f4,0.0
